key,es,en
nav.home,Inicio,Home
nav.catalog,Catálogo,Catalog
nav.about,Nosotros,About
nav.contact,Contacto,Contact
nav.whatsapp,WhatsApp,WhatsApp
nav.aria_cart,Abrir carrito,Open cart
nav.aria_menu,Abrir menú,Open menu
nav.mobile_close,Cerrar menú,Close menu
nav.aria_logo,Liquido Bodyboard — inicio,Liquido Bodyboard — home
lang.toggle,EN,ES
lang.aria,Cambiar a inglés,Switch to Spanish
hero.label,"🌊 Bodyboard · Lima, Perú","🌊 Bodyboard · Lima, Peru"
hero.sub,"Tablas y accesorios de bodyboard para todos los niveles. Directo del mar a tus manos. Compra sin complicaciones por WhatsApp.","Bodyboard boards and accessories for all skill levels. Straight from the ocean to your hands. Shop hassle-free via WhatsApp."
hero.cta_catalog,Ver catálogo,Browse catalog
hero.cta_about,Nuestra historia,Our story
hero.stat1_label,Calidad verificada,Verified quality
hero.stat2_label,Productos disponibles,Products available
hero.stat3_label,Envíos a Lima y provincias,Shipping to Lima & beyond
hero.img_ph,Foto de producto próximamente,Product photo coming soon
catalog.title,Catálogo,Catalog
catalog.subtitle,"Tablas, accesorios y kits para todos los niveles","Boards, accessories and kits for all levels"
catalog.filter_search,Buscar,Search
catalog.search_ph,Nombre o descripción…,Name or description…
catalog.filter_cat,Categoría,Category
catalog.cat_all,Todas,All
catalog.filter_badge,Nivel,Level
catalog.badge_all,Todos,All
catalog.filter_price,Precio máx. (S/),Max price (S/)
catalog.price_all,Sin límite,No limit
catalog.price_50,Hasta S/ 50,Up to S/ 50
catalog.price_100,Hasta S/ 100,Up to S/ 100
catalog.price_250,Hasta S/ 250,Up to S/ 250
catalog.price_400,Hasta S/ 400,Up to S/ 400
catalog.filter_sort,Ordenar,Sort
catalog.sort_default,Por defecto,Default
catalog.sort_price_asc,"Precio: menor a mayor","Price: low to high"
catalog.sort_price_desc,"Precio: mayor a menor","Price: high to low"
catalog.sort_name,Nombre A–Z,Name A–Z
catalog.reset,Limpiar filtros,Clear filters
catalog.no_results_h3,Sin resultados,No results
catalog.no_results_p,Intenta ajustar los filtros o,Try adjusting the filters or
catalog.no_results_btn,limpia los filtros,clear filters
catalog.card_view,Ver ficha,View details
catalog.card_add,+ Añadir,+ Add
catalog.card_unit,/ unidad,/ unit
catalog.product_single,producto,product
catalog.product_plural,productos,products
catalog.stock_low,¡Últimas {n}!,Only {n} left!
catalog.chip_search,"Búsqueda: ""{v}""","Search: ""{v}"""
catalog.chip_cat,Categoría: {v},Category: {v}
catalog.chip_badge,Nivel: {v},Level: {v}
catalog.chip_price,Hasta S/ {v},Up to S/ {v}
catalog.chip_sort,Orden: {v},Sort: {v}
cat.Bodyboards,Bodyboards,Bodyboards
cat.Accesorios,Accesorios,Accessories
cat.Kits,Kits,Kits
badge.Pro,Pro,Pro
badge.Iniciación,Iniciación,Beginner
badge.Pack,Pack,Pack
badge.Accesorio,Accesorio,Accessory
about.h2_html,Nacimos <span>del mar</span>,We were <span>born from the sea</span>
about.p1,"Liquido Bodyboard nació con una misión simple: acercar tablas y accesorios de calidad a los riders peruanos, sin intermediarios ni precios inflados.","Liquido Bodyboard was born with a simple mission: bring quality boards and accessories to Peruvian riders, without middlemen or inflated prices."
about.p2,"Somos apasionados del bodyboard y conocemos las olas del Pacífico como nadie. Por eso seleccionamos cada producto pensando en lo que realmente necesitas para surfear mejor, desde tus primeras olas hasta las más exigentes.","We are passionate bodyboarders and we know the Pacific waves like no one else. That's why we select every product thinking about what you really need to surf better, from your first waves to the most demanding ones."
about.p3,"Atendemos por WhatsApp para que tu compra sea directa, personalizada y sin complicaciones. Te asesoramos en la elección de tu tabla según tu peso, estatura y nivel.","We serve you via WhatsApp so your purchase is direct, personalized and hassle-free. We advise you on choosing your board based on your weight, height and skill level."
about.cta,Consúltanos por WhatsApp,Ask us on WhatsApp
about.img_alt,Rider de bodyboard en ola peruana,Bodyboard rider on a Peruvian wave
values.label,Por qué elegirnos,Why choose us
values.h2,"Calidad, pasión y servicio","Quality, passion and service"
values.sub,"Todo lo que necesitas para tus sesiones de bodyboard, con la garantía de quienes viven el mar.","Everything you need for your bodyboard sessions, backed by people who live for the ocean."
values.v1_title,Conocemos las olas,We know the waves
